,label,Link Video
182,mỳ tôm,https://qipedc.moet.gov.vn/videos/D0080B.mp4?autoplay=true
183,không quen,https://qipedc.moet.gov.vn/videos/D0109B.mp4?autoplay=true
184,không có chi,https://qipedc.moet.gov.vn/videos/D0113.mp4?autoplay=true
185,đúng không?,https://qipedc.moet.gov.vn/videos/D0119B.mp4?autoplay=true
186,mệt mỏi,https://qipedc.moet.gov.vn/videos/D0369.mp4?autoplay=true
187,đau mắt,https://qipedc.moet.gov.vn/videos/D0355.mp4?autoplay=true
188,đau bụng,https://qipedc.moet.gov.vn/videos/D0356.mp4?autoplay=true
189,đau tay,https://qipedc.moet.gov.vn/videos/D0357.mp4?autoplay=true
190,đau chân,https://qipedc.moet.gov.vn/videos/D0358.mp4?autoplay=true
191,đau tai,https://qipedc.moet.gov.vn/videos/D0359.mp4?autoplay=true
192,xem,https://qipedc.moet.gov.vn/videos/D0192B.mp4?autoplay=true
193,giấy ăn,https://qipedc.moet.gov.vn/videos/W01471B.mp4?autoplay=true
194,hứa,https://qipedc.moet.gov.vn/videos/D0165B.mp4?autoplay=true
195,lâu,https://qipedc.moet.gov.vn/videos/D0167.mp4?autoplay=true
196,vẫn,https://qipedc.moet.gov.vn/videos/D0168B.mp4?autoplay=true
197,mỗi ngày,https://qipedc.moet.gov.vn/videos/D0169B.mp4?autoplay=true
198,không ngon,https://qipedc.moet.gov.vn/videos/D0198.mp4?autoplay=true
199,đánh răng,https://qipedc.moet.gov.vn/videos/D0414.mp4?autoplay=true
